title,category,link,link image,date_news,author_clean
Kronologi Serangan Festival Musik Israel Berdasarkan Bukti Video-Foto,detikNews ,https://news.detik.com/bbc-world/d-6976109/kronologi-serangan-festival-musik-israel-berdasarkan-bukti-video-foto,https://akcdn.detik.net.id/community/media/visual/2023/10/11/bbc_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 10:29 WIB",BBC Indonesia
"Perang dengan Hamas, Korban Jiwa Warga Israel Bertambah Jadi 1.000 Orang",detikNews ,https://news.detik.com/internasional/d-6976030/perang-dengan-hamas-korban-jiwa-warga-israel-bertambah-jadi-1000-orang,https://akcdn.detik.net.id/community/media/visual/2023/10/10/mobil-mobil-di-israel-hancur-terkena-roket-hamas-3_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 09:44 WIB",Tim detikcom
Serangan Hamas ke Israel Picu Perdebatan Kelompok Muslim di Jerman,detikNews ,https://news.detik.com/dw/d-6976063/serangan-hamas-ke-israel-picu-perdebatan-kelompok-muslim-di-jerman,https://akcdn.detik.net.id/community/media/visual/2023/10/11/serangan-hamas-ke-israel-picu-perdebatan-kelompok-muslim-di-jerman_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 10:03 WIB",Deutsche Welle (DW)
Jerit Warga Gaza= Di Mana Kami Sembunyi Saat Kematian Datang dari Langit,detikNews ,https://news.detik.com/bbc-world/d-6975989/jerit-warga-gaza-di-mana-kami-sembunyi-saat-kematian-datang-dari-langit,https://akcdn.detik.net.id/community/media/visual/2023/10/11/di-mana-kami-bisa-bersembunyi-ketika-kematian-datang-dari-langit-nasib-warga-gaza_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 09:11 WIB",BBC Indonesia
"Bedu Ingin Jual Rumah, Sebelumnya Sudah Jual 2 Mobil Mewah",detikHot ,https://hot.detik.com/celeb/d-6976121/bedu-ingin-jual-rumah-sebelumnya-sudah-jual-2-mobil-mewah,https://akcdn.detik.net.id/community/media/visual/2016/12/27/8d7a3daa-cf4a-4485-9dd1-c0cf165cb2cd_43.jpg?w=220&q=90,"Rabu, 11 Okt 2023 10:35 WIB",Desi Puspasari
SYL Minta KPK Jadwal Ulang= Saya Mau Temui Ibu di Kampung,detikNews ,https://news.detik.com/berita/d-6975966/syl-minta-kpk-jadwal-ulang-saya-mau-temui-ibu-di-kampung,https://akcdn.detik.net.id/community/media/visual/2023/10/05/momen-mentan-syl-curhat-kasus-yang-dihadapinya-di-kantor-nasdem-3_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 08:45 WIB",Yogi Ernes
Dito Ariotedjo Penuhi Panggilan Jadi Saksi Sidang Kasus Korupsi BTS,detikNews ,https://news.detik.com/berita/d-6976116/dito-ariotedjo-penuhi-panggilan-jadi-saksi-sidang-kasus-korupsi-bts,https://akcdn.detik.net.id/community/media/visual/2023/10/11/dito-ariotedjo-tiba-di-pn-tipikor-jakpus-wilda-detikcom-1_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 10:33 WIB",Wilda Hayatun Nufus
"Iuran Jaminan Kecelakaan Kerja BPJS Diubah, Turun Jadi Segini",detikFinance ,https://finance.detik.com/moneter/d-6976085/iuran-jaminan-kecelakaan-kerja-bpjs-diubah-turun-jadi-segini,https://akcdn.detik.net.id/community/media/visual/2021/12/14/cara-mencairkan-bpjs-ketenagakerjaan-pasca-resign-cek-di-sini_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 10:12 WIB",Ig
Putin Prihatin Atas Banyaknya Korban Jiwa di Israel-Gaza,detikNews ,https://news.detik.com/internasional/d-6976154/putin-prihatin-atas-banyaknya-korban-jiwa-di-israel-gaza,https://akcdn.detik.net.id/community/media/visual/2023/05/26/armenia-azerbaijan_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 11:01 WIB",Novi Christiastuti
Ragam Komentar 3 Partai KIM Usai Gibran Menguat Cawapres Prabowo,detikNews ,https://news.detik.com/pemilu/d-6975984/ragam-komentar-3-partai-kim-usai-gibran-menguat-cawapres-prabowo,https://akcdn.detik.net.id/community/media/visual/2022/06/18/prabowo-berkuda-bareng-gibran-di-hambalang_43.jpeg?w=220&q=90,"Rabu, 11 Okt 2023 09:04 WIB",Tim detikcom
