title,category,link,link image
"Sudah 5 Jam, Febri Diansyah dan Rasamala Masih Diperiksa KPK",detikNews ,https://news.detik.com/berita/d-6961540/sudah-5-jam-febri-diansyah-dan-rasamala-masih-diperiksa-kpk,https://akcdn.detik.net.id/community/media/visual/2023/10/02/febri-diansyah-dan-rasamala-aritonang-tiba-di-gedung-merah-putih-kpk-dia-dipanggil-oleh-kpk-sebagai-saksi-kasus-korupsi-yang-t_43.jpeg?w=220&q=90
Bocah Korban Dugaan Malpraktik di Bekasi Meninggal Dunia,detikNews ,https://news.detik.com/berita/d-6961593/bocah-korban-dugaan-malpraktik-di-bekasi-meninggal-dunia,https://akcdn.detik.net.id/community/media/visual/2022/08/23/penemuan-mayat-wanita-duduk-di-melaya_43.jpeg?w=220&q=90
"Febri Diansyah dan Rasamala Selesai Diperiksa KPK Usai 6,5 Jam",detikNews ,https://news.detik.com/berita/d-6961712/febri-diansyah-dan-rasamala-selesai-diperiksa-kpk-usai-65-jam,https://akcdn.detik.net.id/community/media/visual/2023/10/02/febri-diansyah-kanan-dan-rasamala-aritonang-kiri-foto-rizky-adha-mahendradetikcom_43.jpeg?w=220&q=90
Jokowi Antar SBY ke Mobil Usai Pertemuan di Istana Bogor,detikNews ,https://news.detik.com/pemilu/d-6961705/jokowi-antar-sby-ke-mobil-usai-pertemuan-di-istana-bogor,https://akcdn.detik.net.id/community/media/visual/2023/10/02/jokowi-dan-sby-bertemu-hampir-1-jam-di-istana-bogor-evadetikcom_43.jpeg?w=220&q=90
"Kereta Cepat Disebut Nggak Bakal Balik Modal Sampai Kiamat, Jokowi Bilang Gini",detikFinance ,https://finance.detik.com/infrastruktur/d-6961353/kereta-cepat-disebut-nggak-bakal-balik-modal-sampai-kiamat-jokowi-bilang-gini,https://akcdn.detik.net.id/community/media/visual/2023/10/02/presiden-jokowi-eva-detikcom-1_43.mpo?w=220&q=90
"Elektabilitas Anies Turun, PKB Instruksikan Kader Turun Sapa Masyarakat",detikNews ,https://news.detik.com/pemilu/d-6961622/elektabilitas-anies-turun-pkb-instruksikan-kader-turun-sapa-masyarakat,https://akcdn.detik.net.id/community/media/visual/2018/12/11/78a4936b-131a-4559-8518-63b4d4b40cb0_43.jpeg?w=220&q=90
"Mobil F 414 RI ke Istana Bogor, SBY Dikabarkan Bertemu Jokowi",detikNews ,https://news.detik.com/pemilu/d-6961338/mobil-f-414-ri-ke-istana-bogor-sby-dikabarkan-bertemu-jokowi,https://akcdn.detik.net.id/community/media/visual/2019/10/11/ddcd6320-3a49-4b67-b83f-d1788601aed9_43.jpeg?w=220&q=90
Febri Diansyah Diperiksa soal Bukti Kasus Kementan Dilenyapkan? Ini Kata KPK,detikNews ,https://news.detik.com/berita/d-6961380/febri-diansyah-diperiksa-soal-bukti-kasus-kementan-dilenyapkan-ini-kata-kpk,https://akcdn.detik.net.id/community/media/visual/2023/09/12/kabag-pemberitaan-kpk-ali-fikri_43.jpeg?w=220&q=90
"KPK Ungkap Upaya Pemusnahan Bukti Kasus Kementan: Disobek, Dihancurkan",detikNews ,https://news.detik.com/berita/d-6961605/kpk-ungkap-upaya-pemusnahan-bukti-kasus-kementan-disobek-dihancurkan,https://akcdn.detik.net.id/community/media/visual/2023/09/20/jubir-kpk-ali-fikri-1_43.jpeg?w=220&q=90
Jokowi dan SBY Bertemu Hampir 1 Jam di Istana Bogor,detikNews ,https://news.detik.com/pemilu/d-6961389/jokowi-dan-sby-bertemu-hampir-1-jam-di-istana-bogor,https://akcdn.detik.net.id/community/media/visual/2023/10/02/jokowi-dan-sby-bertemu-hampir-1-jam-di-istana-bogor-evadetikcom_43.jpeg?w=220&q=90
